,strain,contig
1026,Cryptococcus_neoformans_draft_genome.fasta,">35256 7039 41788 30588-,18444+,32815-"
1027,Cryptococcus_neoformans_draft_genome.fasta,">33726 7001 45591 1796+,32152+"
1028,Cryptococcus_neoformans_draft_genome.fasta,">34783 6996 43284 24441+,10337-,31422+"
1029,Cryptococcus_neoformans_draft_genome.fasta,">35676 6952 44163 32677+,10287-,32747+"
1030,Cryptococcus_neoformans_draft_genome.fasta,">35340 6933 62753 31050+,...,872+"
1031,Cryptococcus_neoformans_draft_genome.fasta,">35064 6904 43947 29654+,...,32724-"
1032,Cryptococcus_neoformans_draft_genome.fasta,">35126 6897 43031 29923+,1735+,29429+"
1033,Cryptococcus_neoformans_draft_genome.fasta,">34083 6881 44468 9316+,32805+"
1034,Cryptococcus_neoformans_draft_genome.fasta,">32382 6879 44291 16847-,...,23959-"
1035,Cryptococcus_neoformans_draft_genome.fasta,">34630 6862 61685 21511+,...,8028-"
1036,Cryptococcus_neoformans_draft_genome.fasta,">35106 6853 40903 29818+,...,30047-"
1037,Cryptococcus_neoformans_draft_genome.fasta,">34460 6833 42569 17789+,...,18564+"
1038,Cryptococcus_neoformans_draft_genome.fasta,">35233 6811 43852 30489+,...,17777+"
1039,Cryptococcus_neoformans_draft_genome.fasta,">32143 6801 42783 14904+,...,28651-"
1040,Cryptococcus_neoformans_draft_genome.fasta,">31448 6785 45348 10177+,1415+,25740-"
1041,Cryptococcus_neoformans_draft_genome.fasta,">35645 6781 44241 32526-,14620-,27398+"
1042,Cryptococcus_neoformans_draft_genome.fasta,">30081 6778 44178 3243+,6608-"
1043,Cryptococcus_neoformans_draft_genome.fasta,">35536 6775 38922 32013+,...,30933-"
1044,Cryptococcus_neoformans_draft_genome.fasta,">34899 6749 43426 27205+,...,7089+"
1045,Cryptococcus_neoformans_draft_genome.fasta,">34836 6740 44003 25611-,...,32562-"
1046,Cryptococcus_neoformans_draft_genome.fasta,">35614 6724 45542 32407+,24790-,29416+"
1047,Cryptococcus_neoformans_draft_genome.fasta,">34388 6721 47212 16125+,3701+,16581+"
1048,Cryptococcus_neoformans_draft_genome.fasta,">34169 6712 41316 11151+,33270+,31035-"
1049,Cryptococcus_neoformans_draft_genome.fasta,">35535 6705 48676 32008+,20828+,32260+"
1050,Cryptococcus_neoformans_draft_genome.fasta,">35063 6675 42288 29647+,24685-,28725+"
1051,Cryptococcus_neoformans_draft_genome.fasta,">35613 6645 40893 32398-,30482+"
1052,Cryptococcus_neoformans_draft_genome.fasta,">35727 6640 45059 32884-,...,6342+"
1053,Cryptococcus_neoformans_draft_genome.fasta,">35573 6634 44632 32189+,32473+"
1054,Cryptococcus_neoformans_draft_genome.fasta,">34995 6628 42595 29304+,12688-,28415+"
1055,Cryptococcus_neoformans_draft_genome.fasta,">35656 6625 42377 32571-,1091-,28726+"
1056,Cryptococcus_neoformans_draft_genome.fasta,">35450 6603 84719 31586+,...,9467-"
1057,Cryptococcus_neoformans_draft_genome.fasta,">35511 6596 42606 31889+,12254+,32502+"
1058,Cryptococcus_neoformans_draft_genome.fasta,">35660 6596 41186 32600+,...,29863+"
1059,Cryptococcus_neoformans_draft_genome.fasta,">31360 6583 40705 9587+,18283+,25058-"
1060,Cryptococcus_neoformans_draft_genome.fasta,">35732 6568 40321 32900+,...,11764+"
1061,Cryptococcus_neoformans_draft_genome.fasta,">35272 6553 42293 30677-,22997+,30091-"
1062,Cryptococcus_neoformans_draft_genome.fasta,">32894 6552 41936 22772+,22518+,26058+"
1063,Cryptococcus_neoformans_draft_genome.fasta,">34082 6540 40128 9298+,19075-,32742+"
1064,Cryptococcus_neoformans_draft_genome.fasta,">34459 6535 41830 17732+,...,30378-"
1065,Cryptococcus_neoformans_draft_genome.fasta,">35506 6519 41912 31873+,21558+,32745+"
1066,Cryptococcus_neoformans_draft_genome.fasta,">30348 6501 40819 4339-,17736-,23417-"
1067,Cryptococcus_neoformans_draft_genome.fasta,">35195 6496 42131 30241-,...,32688+"
1068,Cryptococcus_neoformans_draft_genome.fasta,">31347 6474 41055 9484+,14069+"
1069,Cryptococcus_neoformans_draft_genome.fasta,">31941 6461 42336 13316-,...,22626+"
1070,Cryptococcus_neoformans_draft_genome.fasta,">35397 6458 40343 31301+,...,13582+"
1071,Cryptococcus_neoformans_draft_genome.fasta,">31446 6452 43065 10168+,19790+"
1072,Cryptococcus_neoformans_draft_genome.fasta,">33711 6444 42637 1444+,...,4338+"
1073,Cryptococcus_neoformans_draft_genome.fasta,">35801 6442 55414 30758+,...,368-"
1074,Cryptococcus_neoformans_draft_genome.fasta,">35756 6428 61697 33017-,2516+,19484-"
1075,Cryptococcus_neoformans_draft_genome.fasta,">34074 6423 47240 9193+,...,16930-"
1076,Cryptococcus_neoformans_draft_genome.fasta,">33878 6417 40859 5316-,...,13849-"
1077,Cryptococcus_neoformans_draft_genome.fasta,">32935 6414 42399 23539+,...,28100-"
1078,Cryptococcus_neoformans_draft_genome.fasta,">35604 6411 37691 32356+,...,31352+"
1079,Cryptococcus_neoformans_draft_genome.fasta,">35685 6390 79669 32711+,32973+"
1080,Cryptococcus_neoformans_draft_genome.fasta,">35254 6377 42692 30583+,...,29303+"
1081,Cryptococcus_neoformans_draft_genome.fasta,">35782 6358 33997 25515-,...,3299+"
1082,Cryptococcus_neoformans_draft_genome.fasta,">33681 6343 37630 689+,33083+,29349+"
1083,Cryptococcus_neoformans_draft_genome.fasta,">35125 6319 38659 29921+,...,30840+"
1084,Cryptococcus_neoformans_draft_genome.fasta,">35633 6307 39638 32460+,13439+,28601+"
1085,Cryptococcus_neoformans_draft_genome.fasta,">34282 6293 43688 14086-,2636+"
1086,Cryptococcus_neoformans_draft_genome.fasta,">34615 6280 40181 21255+,...,30927+"
1087,Cryptococcus_neoformans_draft_genome.fasta,">35059 6276 40348 29615+,...,30584-"
1088,Cryptococcus_neoformans_draft_genome.fasta,">35194 6248 40137 30239-,29777+"
1089,Cryptococcus_neoformans_draft_genome.fasta,">32196 6230 39465 15386+,...,20446-"
1090,Cryptococcus_neoformans_draft_genome.fasta,">31529 6209 39683 10696+,...,20079-"
1091,Cryptococcus_neoformans_draft_genome.fasta,>8042 6201 66649
1092,Cryptococcus_neoformans_draft_genome.fasta,">35035 6197 41103 29488+,22902+"
1093,Cryptococcus_neoformans_draft_genome.fasta,">34317 6194 147767 14877+,...,14877-"
1094,Cryptococcus_neoformans_draft_genome.fasta,">35427 6194 43218 31476+,9637+,32423+"
1095,Cryptococcus_neoformans_draft_genome.fasta,">35708 6185 38327 32791+,9514+"
1096,Cryptococcus_neoformans_draft_genome.fasta,">31872 6177 39284 12883-,4073-,13198-"
1097,Cryptococcus_neoformans_draft_genome.fasta,">35247 6176 39535 30562+,31668-"
1098,Cryptococcus_neoformans_draft_genome.fasta,">34862 6162 39069 26359-,3839+,13374-"
1099,Cryptococcus_neoformans_draft_genome.fasta,">35655 6137 37984 32567+,15907+,31168+"
1100,Cryptococcus_neoformans_draft_genome.fasta,">35213 6133 40077 30334-,...,30620+"
1101,Cryptococcus_neoformans_draft_genome.fasta,">35372 6130 36704 31221+,32634+"
1102,Cryptococcus_neoformans_draft_genome.fasta,">33826 6116 32772 3838+,...,27446+"
1103,Cryptococcus_neoformans_draft_genome.fasta,">30425 6097 39671 4776-,12145+,15127-"
1104,Cryptococcus_neoformans_draft_genome.fasta,">35116 6092 42032 29890+,29474+"
1105,Cryptococcus_neoformans_draft_genome.fasta,">35218 6090 38198 30407+,...,25050+"
1106,Cryptococcus_neoformans_draft_genome.fasta,">35514 6078 40335 31904+,32315+"
1107,Cryptococcus_neoformans_draft_genome.fasta,">35243 6064 35024 30544-,30173+"
1108,Cryptococcus_neoformans_draft_genome.fasta,">34038 6045 77934 8502+,...,32507-"
1109,Cryptococcus_neoformans_draft_genome.fasta,">35356 6043 37624 31120+,...,27619+"
1110,Cryptococcus_neoformans_draft_genome.fasta,">34133 6014 40216 10276-,...,21815+"
1111,Cryptococcus_neoformans_draft_genome.fasta,">35533 5999 38046 31998+,...,32248-"
1112,Cryptococcus_neoformans_draft_genome.fasta,">35206 5994 40805 30320-,...,6235+"
1113,Cryptococcus_neoformans_draft_genome.fasta,">35380 5991 39340 31250+,32105+"
1114,Cryptococcus_neoformans_draft_genome.fasta,">34011 5965 38872 7988+,...,7529+"
1115,Cryptococcus_neoformans_draft_genome.fasta,">34708 5965 38918 22990+,...,30971-"
1116,Cryptococcus_neoformans_draft_genome.fasta,">35793 5953 35784 8955+,...,15300-"
1117,Cryptococcus_neoformans_draft_genome.fasta,">35800 5934 40558 13214+,...,32041-"
1118,Cryptococcus_neoformans_draft_genome.fasta,">35448 5931 37828 31560+,...,29424+"
1119,Cryptococcus_neoformans_draft_genome.fasta,">34720 5920 36714 23367+,22468+,30118+"
1120,Cryptococcus_neoformans_draft_genome.fasta,">35148 5916 39576 29975-,29325+"
1121,Cryptococcus_neoformans_draft_genome.fasta,">35147 5907 37880 29959-,...,2672+"
1122,Cryptococcus_neoformans_draft_genome.fasta,">34079 5899 69138 9230-,2463+"
1123,Cryptococcus_neoformans_draft_genome.fasta,">35551 5895 37777 32106-,24205+"
1124,Cryptococcus_neoformans_draft_genome.fasta,">34864 5887 37360 26398-,...,32748+"
1125,Cryptococcus_neoformans_draft_genome.fasta,">34396 5869 37633 16359+,31954-"
1126,Cryptococcus_neoformans_draft_genome.fasta,">35253 5869 33883 30581+,30773+"
1127,Cryptococcus_neoformans_draft_genome.fasta,">35083 5862 40746 29706+,...,15763+"
1128,Cryptococcus_neoformans_draft_genome.fasta,">33723 5858 36338 1691+,...,23576-"
1129,Cryptococcus_neoformans_draft_genome.fasta,">34628 5845 37718 21485+,...,28567+"
1130,Cryptococcus_neoformans_draft_genome.fasta,">35469 5833 39583 31685+,29347+,30914-"
1131,Cryptococcus_neoformans_draft_genome.fasta,">33651 5822 42153 365+,...,23694-"
1132,Cryptococcus_neoformans_draft_genome.fasta,>6093 5814 63885
1133,Cryptococcus_neoformans_draft_genome.fasta,">35712 5811 36259 32807-,29801+,32226+"
1134,Cryptococcus_neoformans_draft_genome.fasta,">34876 5780 40055 26677+,...,11924+"
1135,Cryptococcus_neoformans_draft_genome.fasta,">35463 5767 36981 31652-,...,19391+"
1136,Cryptococcus_neoformans_draft_genome.fasta,">32678 5765 35715 19594+,...,29214+"
1137,Cryptococcus_neoformans_draft_genome.fasta,">35414 5754 35472 31413+,...,3676+"
1138,Cryptococcus_neoformans_draft_genome.fasta,">33683 5752 38338 726+,18670+,32647+"
1139,Cryptococcus_neoformans_draft_genome.fasta,">30373 5747 36212 4533-,5600+,7613-"
1140,Cryptococcus_neoformans_draft_genome.fasta,">34554 5720 36528 19791+,30349+"
1141,Cryptococcus_neoformans_draft_genome.fasta,">35710 5696 35026 32804-,33126-,3128+"
1142,Cryptococcus_neoformans_draft_genome.fasta,">34053 5692 105332 8941+,...,29368-"
1143,Cryptococcus_neoformans_draft_genome.fasta,">34024 5683 34153 8156+,...,30951-"
1144,Cryptococcus_neoformans_draft_genome.fasta,">35308 5675 36181 30899+,6814+"
1145,Cryptococcus_neoformans_draft_genome.fasta,">35357 5675 35938 31121+,...,9802+"
1146,Cryptococcus_neoformans_draft_genome.fasta,">35678 5670 38641 32681+,...,2735-"
1147,Cryptococcus_neoformans_draft_genome.fasta,">34196 5663 35354 11707-,...,30041-"
1148,Cryptococcus_neoformans_draft_genome.fasta,">32135 5655 35213 14817+,1122+,24369+"
1149,Cryptococcus_neoformans_draft_genome.fasta,">34394 5642 33634 16334+,13656-,30336+"
1150,Cryptococcus_neoformans_draft_genome.fasta,">35114 5611 34439 29883-,...,19969+"
1151,Cryptococcus_neoformans_draft_genome.fasta,">31149 5610 36772 8425-,11402+"
1152,Cryptococcus_neoformans_draft_genome.fasta,">35798 5607 80840 5837+,...,32249-"
1153,Cryptococcus_neoformans_draft_genome.fasta,">34155 5601 33906 10820+,...,31616-"
1154,Cryptococcus_neoformans_draft_genome.fasta,">33866 5588 45663 5170+,...,5540+"
1155,Cryptococcus_neoformans_draft_genome.fasta,">35041 5588 37222 29534-,4088+"
1156,Cryptococcus_neoformans_draft_genome.fasta,">34203 5585 36223 11908+,31195+"
1157,Cryptococcus_neoformans_draft_genome.fasta,">33770 5540 33576 2805+,14665-,29445-"
1158,Cryptococcus_neoformans_draft_genome.fasta,">33834 5526 37523 4103+,...,14369+"
1159,Cryptococcus_neoformans_draft_genome.fasta,">34078 5509 36393 9228+,32823-"
1160,Cryptococcus_neoformans_draft_genome.fasta,">34191 5505 36217 11543+,17209+,31779+"
1161,Cryptococcus_neoformans_draft_genome.fasta,">34960 5505 34909 28499+,32083-"
1162,Cryptococcus_neoformans_draft_genome.fasta,">35133 5498 139856 29942+,...,12646+"
1163,Cryptococcus_neoformans_draft_genome.fasta,">34919 5447 36674 27649+,...,5308+"
1164,Cryptococcus_neoformans_draft_genome.fasta,">33777 5415 72161 2915-,14746-,8739+"
1165,Cryptococcus_neoformans_draft_genome.fasta,">35468 5412 29276 31678-,...,30399-"
1166,Cryptococcus_neoformans_draft_genome.fasta,">35242 5406 34239 30528+,29511+"
1167,Cryptococcus_neoformans_draft_genome.fasta,">35282 5406 39999 30747+,5170+"
1168,Cryptococcus_neoformans_draft_genome.fasta,">35759 5406 34346 33027+,8531+,7954+"
1169,Cryptococcus_neoformans_draft_genome.fasta,">35583 5403 64646 32249-,...,25878-"
1170,Cryptococcus_neoformans_draft_genome.fasta,">34287 5394 33267 14197+,6241-,29331+"
1171,Cryptococcus_neoformans_draft_genome.fasta,">35388 5370 31416 31272+,32699-"
1172,Cryptococcus_neoformans_draft_genome.fasta,">35681 5356 36044 32703+,...,33034+"
1173,Cryptococcus_neoformans_draft_genome.fasta,">34519 5342 33664 18884-,...,11736+"
1174,Cryptococcus_neoformans_draft_genome.fasta,">35297 5342 31898 30803+,33581+,31694+"
1175,Cryptococcus_neoformans_draft_genome.fasta,">34907 5340 68488 27416+,...,32430+"
1176,Cryptococcus_neoformans_draft_genome.fasta,">35069 5327 32561 29680+,29067-,32222-"
1177,Cryptococcus_neoformans_draft_genome.fasta,">31521 5322 35532 10653-,...,28038+"
1178,Cryptococcus_neoformans_draft_genome.fasta,">33864 5321 169922 5129-,...,29942-"
1179,Cryptococcus_neoformans_draft_genome.fasta,">34402 5315 30378 16515+,33334+,31094+"
1180,Cryptococcus_neoformans_draft_genome.fasta,">35333 5294 33994 31016+,9753+"
1181,Cryptococcus_neoformans_draft_genome.fasta,">34877 5266 76429 26690+,...,2915+"
1182,Cryptococcus_neoformans_draft_genome.fasta,">35418 5265 31548 31427+,...,30775-"
1183,Cryptococcus_neoformans_draft_genome.fasta,">34829 5260 34882 25487+,22677+,31741+"
1184,Cryptococcus_neoformans_draft_genome.fasta,">34491 5259 34126 18352+,29372+,30260+"
1185,Cryptococcus_neoformans_draft_genome.fasta,">35615 5253 35737 32411+,...,31385-"
1186,Cryptococcus_neoformans_draft_genome.fasta,">34205 5232 31631 11956+,14617-"
1187,Cryptococcus_neoformans_draft_genome.fasta,">34902 5228 32821 27293+,5921-,30889+"
1188,Cryptococcus_neoformans_draft_genome.fasta,">35139 5217 135271 29942+,...,3121+"
1189,Cryptococcus_neoformans_draft_genome.fasta,">35441 5205 35273 31545+,20740+"
1190,Cryptococcus_neoformans_draft_genome.fasta,">33994 5202 31238 7668+,...,29540+"
1191,Cryptococcus_neoformans_draft_genome.fasta,">35319 5194 33467 30961-,...,1715+"
1192,Cryptococcus_neoformans_draft_genome.fasta,">33727 5188 40070 1796-,...,9193-"
1193,Cryptococcus_neoformans_draft_genome.fasta,">31502 5181 33873 10516+,...,21552+"
1194,Cryptococcus_neoformans_draft_genome.fasta,">34301 5179 30936 14546+,...,10233+"
1195,Cryptococcus_neoformans_draft_genome.fasta,">34974 5170 28071 28770+,...,32842-"
1196,Cryptococcus_neoformans_draft_genome.fasta,">35500 5163 32100 31851+,24457+"
1197,Cryptococcus_neoformans_draft_genome.fasta,">35101 5156 30364 29798-,5059+,17604+"
1198,Cryptococcus_neoformans_draft_genome.fasta,">35183 5139 33307 30186+,30771+,16908+"
1199,Cryptococcus_neoformans_draft_genome.fasta,">33840 5137 31727 4286-,...,649+"
1200,Cryptococcus_neoformans_draft_genome.fasta,">34605 5101 28210 20964-,...,7269+"
1201,Cryptococcus_neoformans_draft_genome.fasta,">34081 5092 29477 9295+,...,25081-"
1202,Cryptococcus_neoformans_draft_genome.fasta,">35776 5088 32669 2233+,...,8934-"
1203,Cryptococcus_neoformans_draft_genome.fasta,">33715 5076 33242 1484+,15847-"
1204,Cryptococcus_neoformans_draft_genome.fasta,">34504 5049 62349 18641+,30329+,28981+"
1205,Cryptococcus_neoformans_draft_genome.fasta,">34936 5036 33000 28049+,...,8180+"
1206,Cryptococcus_neoformans_draft_genome.fasta,">35507 5017 33194 31875+,...,25338+"
1207,Cryptococcus_neoformans_draft_genome.fasta,">34948 5016 34445 28359+,...,4352+"
1208,Cryptococcus_neoformans_draft_genome.fasta,">31369 5004 31354 9633-,5607-,21148+"
1209,Cryptococcus_neoformans_draft_genome.fasta,">35368 5004 29749 31209-,...,24137+"
1210,Cryptococcus_neoformans_draft_genome.fasta,">34253 5002 28580 13139+,31496-,30610+"
1211,Cryptococcus_neoformans_draft_genome.fasta,">35274 4999 27009 30710+,...,31238+"
1212,Cryptococcus_neoformans_draft_genome.fasta,">32229 4984 32139 15687-,21367+"
1213,Cryptococcus_neoformans_draft_genome.fasta,">34963 4964 31391 28522-,14436+"
1214,Cryptococcus_neoformans_draft_genome.fasta,">35371 4964 30196 31219+,33497-,29345+"
1215,Cryptococcus_neoformans_draft_genome.fasta,">33938 4929 57633 6323+,...,18337-"
1216,Cryptococcus_neoformans_draft_genome.fasta,">29535 4923 31248 1044+,...,27526+"
1217,Cryptococcus_neoformans_draft_genome.fasta,">35657 4911 29680 32581+,6606+"
1218,Cryptococcus_neoformans_draft_genome.fasta,">35795 4905 30742 30555-,...,17091+"
1219,Cryptococcus_neoformans_draft_genome.fasta,">34347 4893 30402 15290+,...,13422-"
1220,Cryptococcus_neoformans_draft_genome.fasta,">35328 4881 31034 30995+,32108+"
1221,Cryptococcus_neoformans_draft_genome.fasta,">35102 4872 31628 29802+,31459+"
1222,Cryptococcus_neoformans_draft_genome.fasta,">35637 4871 34413 32494-,13135+"
1223,Cryptococcus_neoformans_draft_genome.fasta,">35193 4841 31091 30235+,30914-"
1224,Cryptococcus_neoformans_draft_genome.fasta,">35400 4823 32356 31316+,30231+"
1225,Cryptococcus_neoformans_draft_genome.fasta,">33697 4817 27532 1056+,32445-"
1226,Cryptococcus_neoformans_draft_genome.fasta,">35347 4810 73233 31091-,...,24962-"
1227,Cryptococcus_neoformans_draft_genome.fasta,">34160 4809 31057 10935+,4212+,7589+"
1228,Cryptococcus_neoformans_draft_genome.fasta,">34127 4793 31102 10180+,...,30541+"
1229,Cryptococcus_neoformans_draft_genome.fasta,">34446 4776 63046 17434+,...,20970-"
1230,Cryptococcus_neoformans_draft_genome.fasta,">33808 4770 68357 3470+,...,5942+"
1231,Cryptococcus_neoformans_draft_genome.fasta,">30059 4766 30453 3155-,11276+,13108-"
1232,Cryptococcus_neoformans_draft_genome.fasta,">34432 4751 29777 17122+,...,11142+"
1233,Cryptococcus_neoformans_draft_genome.fasta,">34093 4743 27806 9468+,33003-"
1234,Cryptococcus_neoformans_draft_genome.fasta,">31981 4739 29327 13634+,26724+"
1235,Cryptococcus_neoformans_draft_genome.fasta,">35494 4735 30057 31832+,32315-"
1236,Cryptococcus_neoformans_draft_genome.fasta,">35314 4733 29752 30937+,...,28861+"
1237,Cryptococcus_neoformans_draft_genome.fasta,">35092 4729 30538 29735-,...,21811+"
1238,Cryptococcus_neoformans_draft_genome.fasta,">31768 4725 30463 12109+,...,16169+"
1239,Cryptococcus_neoformans_draft_genome.fasta,">35785 4721 58516 5868+,...,20602+"
1240,Cryptococcus_neoformans_draft_genome.fasta,">34314 4703 65604 14877+,...,8634-"
1241,Cryptococcus_neoformans_draft_genome.fasta,">33916 4697 30456 5903+,29875-,8138+"
1242,Cryptococcus_neoformans_draft_genome.fasta,">31102 4674 29281 8176-,...,19814+"
1243,Cryptococcus_neoformans_draft_genome.fasta,">35638 4672 28212 32500+,32050+"
1244,Cryptococcus_neoformans_draft_genome.fasta,">34705 4661 28848 22910+,33051-"
1245,Cryptococcus_neoformans_draft_genome.fasta,">35512 4661 30457 31897-,22623-,18859+"
1246,Cryptococcus_neoformans_draft_genome.fasta,">34097 4654 36359 9501+,...,17999+"
1247,Cryptococcus_neoformans_draft_genome.fasta,">32954 4643 33376 23986+,27788+"
1248,Cryptococcus_neoformans_draft_genome.fasta,">33863 4642 28362 5089+,...,9318+"
1249,Cryptococcus_neoformans_draft_genome.fasta,">34108 4642 40057 9767+,...,6505-"
1250,Cryptococcus_neoformans_draft_genome.fasta,">33931 4635 39733 6133+,30979-,6975+"
1251,Cryptococcus_neoformans_draft_genome.fasta,">35404 4624 31315 31341+,20540-,31896-"
1252,Cryptococcus_neoformans_draft_genome.fasta,">34661 4623 28938 22076-,...,23409-"
1253,Cryptococcus_neoformans_draft_genome.fasta,">31255 4592 29293 9028+,25269-,19920+"
1254,Cryptococcus_neoformans_draft_genome.fasta,">35481 4592 47229 31756-,31579+"
1255,Cryptococcus_neoformans_draft_genome.fasta,">33722 4589 30721 1688+,28578-,14835+"
1256,Cryptococcus_neoformans_draft_genome.fasta,">34962 4577 30470 28516+,...,4514+"
1257,Cryptococcus_neoformans_draft_genome.fasta,">35453 4577 26802 31593-,...,26576+"
1258,Cryptococcus_neoformans_draft_genome.fasta,">34748 4576 29240 23699+,...,31230-"
1259,Cryptococcus_neoformans_draft_genome.fasta,">33843 4572 26927 4410+,...,33033-"
1260,Cryptococcus_neoformans_draft_genome.fasta,">35344 4542 29159 31081+,...,25043+"
1261,Cryptococcus_neoformans_draft_genome.fasta,">34920 4536 26782 27654+,111+"
1262,Cryptococcus_neoformans_draft_genome.fasta,">35120 4508 28808 29898+,7707+"
1263,Cryptococcus_neoformans_draft_genome.fasta,">34339 4480 70719 15176-,8622+,27900-"
1264,Cryptococcus_neoformans_draft_genome.fasta,>10467 4474 29499
1265,Cryptococcus_neoformans_draft_genome.fasta,">34746 4456 64478 23677-,...,23677-"
1266,Cryptococcus_neoformans_draft_genome.fasta,">35227 4455 27763 30455-,5984+,7859+"
1267,Cryptococcus_neoformans_draft_genome.fasta,">33923 4454 29035 6092+,23001-"
1268,Cryptococcus_neoformans_draft_genome.fasta,">35648 4447 28437 32536+,32530-"
1269,Cryptococcus_neoformans_draft_genome.fasta,">34080 4443 68731 9272+,...,6265-"
1270,Cryptococcus_neoformans_draft_genome.fasta,">30934 4429 27192 7321-,14359+"
1271,Cryptococcus_neoformans_draft_genome.fasta,">35136 4424 134167 29942+,...,20080+"
1272,Cryptococcus_neoformans_draft_genome.fasta,">34831 4419 28669 25499-,...,1081+"
1273,Cryptococcus_neoformans_draft_genome.fasta,">31891 4405 25801 12993+,...,16555-"
1274,Cryptococcus_neoformans_draft_genome.fasta,">33976 4403 27049 7176+,...,6435+"
1275,Cryptococcus_neoformans_draft_genome.fasta,">35178 4396 26882 30144-,...,31673-"
1276,Cryptococcus_neoformans_draft_genome.fasta,>26645 4389 45301
1277,Cryptococcus_neoformans_draft_genome.fasta,">34000 4387 30668 7814+,...,20053+"
1278,Cryptococcus_neoformans_draft_genome.fasta,">34367 4387 26716 15631-,2090+,29578-"
1279,Cryptococcus_neoformans_draft_genome.fasta,">35269 4384 45123 30673+,...,31050+"
1280,Cryptococcus_neoformans_draft_genome.fasta,">33690 4371 26142 900+,30501-"
1281,Cryptococcus_neoformans_draft_genome.fasta,">34769 4368 27544 24173+,22041+"
1282,Cryptococcus_neoformans_draft_genome.fasta,">35758 4359 27690 33025+,5489+,3566+"
1283,Cryptococcus_neoformans_draft_genome.fasta,">33800 4356 28724 3346+,...,4037+"
1284,Cryptococcus_neoformans_draft_genome.fasta,">33011 4330 26888 25382-,...,27318-"
1285,Cryptococcus_neoformans_draft_genome.fasta,">34522 4330 57338 18952-,...,9330-"
1286,Cryptococcus_neoformans_draft_genome.fasta,">35329 4320 26113 31004+,11957-"
1287,Cryptococcus_neoformans_draft_genome.fasta,">33664 4297 25702 533+,...,32164+"
1288,Cryptococcus_neoformans_draft_genome.fasta,">34094 4293 23772 9471+,33235+,30695+"
1289,Cryptococcus_neoformans_draft_genome.fasta,">29443 4288 26815 695-,8295-,19395+"
1290,Cryptococcus_neoformans_draft_genome.fasta,">34292 4288 26773 14253-,...,30558+"
1291,Cryptococcus_neoformans_draft_genome.fasta,">35326 4285 24936 30988+,...,30635-"
1292,Cryptococcus_neoformans_draft_genome.fasta,">35587 4267 25838 32267-,17299+"
1293,Cryptococcus_neoformans_draft_genome.fasta,">33670 4258 26220 581+,...,26719+"
1294,Cryptococcus_neoformans_draft_genome.fasta,">35631 4238 25991 32455-,31162+,26196+"
1295,Cryptococcus_neoformans_draft_genome.fasta,">29945 4229 25973 2667-,17139+,27144-"
1296,Cryptococcus_neoformans_draft_genome.fasta,">35620 4217 24487 32426+,386+"
1297,Cryptococcus_neoformans_draft_genome.fasta,">35153 4214 25339 30010+,31824-"
1298,Cryptococcus_neoformans_draft_genome.fasta,">34192 4203 26273 11588+,...,7469+"
1299,Cryptococcus_neoformans_draft_genome.fasta,">35014 4198 27230 29394+,18858-,1614+"
1300,Cryptococcus_neoformans_draft_genome.fasta,">30167 4187 28020 3557-,16859-"
1301,Cryptococcus_neoformans_draft_genome.fasta,">34387 4184 26598 16104-,...,26182-"
1302,Cryptococcus_neoformans_draft_genome.fasta,">33930 4177 36658 6133+,30465+"
1303,Cryptococcus_neoformans_draft_genome.fasta,>20067 4171 27961
1304,Cryptococcus_neoformans_draft_genome.fasta,">34871 4171 27117 26501+,33469+,32872+"
1305,Cryptococcus_neoformans_draft_genome.fasta,">30415 4170 25110 4757-,14998-"
1306,Cryptococcus_neoformans_draft_genome.fasta,">35489 4165 26144 31795+,26812+,19476+"
1307,Cryptococcus_neoformans_draft_genome.fasta,">35559 4162 22381 32151+,21382+"
1308,Cryptococcus_neoformans_draft_genome.fasta,">35788 4161 29108 31263+,...,31841-"
1309,Cryptococcus_neoformans_draft_genome.fasta,>5646 4157 25437
1310,Cryptococcus_neoformans_draft_genome.fasta,">35444 4138 24775 31550+,33595-,31147+"
1311,Cryptococcus_neoformans_draft_genome.fasta,">35572 4127 26513 32189+,29855+"
1312,Cryptococcus_neoformans_draft_genome.fasta,">32896 4125 28585 22792+,21546-,25393-"
1313,Cryptococcus_neoformans_draft_genome.fasta,">32905 4108 26460 22992+,24628+"
1314,Cryptococcus_neoformans_draft_genome.fasta,">35292 4107 25923 30780-,33343-,16964+"
1315,Cryptococcus_neoformans_draft_genome.fasta,">35162 4088 26219 30064+,32410+"
1316,Cryptococcus_neoformans_draft_genome.fasta,">34712 4081 296973 23185+,...,9402+"
1317,Cryptococcus_neoformans_draft_genome.fasta,">35151 4077 24965 30003+,2944+"
1318,Cryptococcus_neoformans_draft_genome.fasta,">33739 4067 25627 2143+,32056+"
1319,Cryptococcus_neoformans_draft_genome.fasta,">32888 4066 24088 22638-,18680-,26534+"
1320,Cryptococcus_neoformans_draft_genome.fasta,">29763 4065 25838 1941-,10789+"
1321,Cryptococcus_neoformans_draft_genome.fasta,">34326 4065 26142 14881+,...,28815-"
1322,Cryptococcus_neoformans_draft_genome.fasta,">34368 4057 25643 15645+,31228+"
1323,Cryptococcus_neoformans_draft_genome.fasta,">34574 4054 23905 20335+,...,31630-"
1324,Cryptococcus_neoformans_draft_genome.fasta,">34398 4051 56942 16402-,...,32249-"
